name,yes
Alameda,61.90%
Alpine,54.80%
Amador,38.60%
Butte,51.20%
Calaveras,40.00%
Colusa,46.30%
Contra Costa,55.90%
Del Norte,43.70%
El Dorado,38.50%
Fresno,51.60%
Glenn,43.00%
Humboldt,50.60%
Imperial,66.30%
Inyo,43.10%
Kern,51.90%
Kings,51.40%
Lake,49.70%
Lassen,36.10%
Los Angeles,58.70%
Madera,45.60%
Marin,56.10%
Mariposa,41.20%
Mendocino,52.70%
Merced,60.20%
Modoc,31.50%
Mono,46.40%
Monterey,64.70%
Napa,50.70%
Nevada,42.10%
Orange,49.00%
Placer,43.40%
Plumas,37.70%
Riverside,55.10%
Sacramento,53.50%
San Benito,53.70%
San Bernardino,54.30%
San Diego,54.30%
San Francisco,66.80%
San Joaquin,56.70%
San Luis Obispo,49.50%
San Mateo,58.70%
Santa Barbara,55.30%
Santa Clara,54.70%
Santa Cruz,57.00%
Shasta,38.10%
Sierra,40.30%
Siskiyou,40.20%
Solano,54.30%
Sonoma,56.00%
Stanislaus,58.30%
Sutter,47.20%
Tehama,37.60%
Trinity,41.50%
Tulare,50.90%
Tuolumne,39.00%
Ventura,52.80%
Yolo,54.20%
Yuba,45.00%